2024-04-03 15:23:19.448 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:cz4034 t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-04-03 15:23:19.450 INFO  (searcherExecutor-13-thread-1-processing-cz4034) [c: s: r: x:cz4034 t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-04-03 15:23:19.450 INFO  (searcherExecutor-13-thread-1-processing-cz4034) [c: s: r: x:cz4034 t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-04-03 15:23:19.463 INFO  (searcherExecutor-13-thread-1-processing-cz4034) [c: s: r: x:cz4034 t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: wordbreak
2024-04-03 15:23:19.474 INFO  (searcherExecutor-13-thread-1-processing-cz4034) [c: s: r: x:cz4034 t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-04-03 15:23:19.693 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@5bb3131b{solr-jetty-context.xml,/solr,file:///C:/Users/Su%20Myat/Information-Retrieval/backend-index/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{C:\Users\Su Myat\Information-Retrieval\backend-index\solr-9.5.0\server/solr-webapp/webapp}
2024-04-03 15:23:19.711 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened C:\Users\Su Myat\Information-Retrieval\backend-index\solr-9.5.0\server\logs\2024_04_03.request.log
2024-04-03 15:23:19.738 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@51b01960{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2024-04-03 15:23:19.740 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@1af1347d{STARTING}[10.0.19,sto=0] @8010ms
2024-04-03 15:23:20.198 INFO  (qtp203819996-19-localhost-1) [c: s: r: x: t:localhost-1] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=153
2024-04-03 15:23:22.549 INFO  (qtp203819996-26-localhost-3) [c: s: r: x: t:localhost-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712157802442} status=0 QTime=2
2024-04-03 15:23:22.701 INFO  (qtp203819996-22-localhost-4) [c: s: r: x: t:localhost-4] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712157802443} status=0 QTime=152
2024-04-03 15:23:22.837 INFO  (qtp203819996-25-localhost-5) [c: s: r: x: t:localhost-5] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712157802443} status=0 QTime=127
2024-04-03 15:23:25.891 INFO  (qtp203819996-26-localhost-6) [c: s: r: x: t:localhost-6] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712157802442} status=0 QTime=0
2024-04-03 15:23:25.909 INFO  (qtp203819996-25-localhost-8) [c: s: r: x:cz4034 t:localhost-8] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1712157805878} status=0 QTime=6
2024-04-03 15:23:25.947 INFO  (qtp203819996-26-localhost-9) [c: s: r: x:cz4034 t:localhost-9] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1712157805878} status=0 QTime=17
